iter	Passed	Remaining
0	2	279
1	4	220
2	5	193
3	6	166
4	8	159
5	9	156
6	11	158
7	13	156
8	14	149
9	16	144
10	17	140
11	18	135
12	19	131
13	20	127
14	21	122
15	22	119
16	24	117
17	25	114
18	26	112
19	27	109
20	28	106
21	29	104
22	30	102
23	31	100
24	32	98
25	34	96
26	35	95
27	36	93
28	37	92
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	83
35	46	82
36	47	80
37	48	79
38	49	77
39	50	76
40	52	74
41	52	72
42	53	71
43	54	69
44	56	68
45	57	67
46	58	66
47	59	64
48	61	63
49	62	62
50	63	60
51	64	59
52	65	58
53	67	57
54	67	55
55	68	54
56	69	52
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
