iter	Passed	Remaining
0	173	173758
1	175	87638
2	177	58867
3	178	44496
4	180	35853
5	182	30195
6	185	26260
7	186	23139
8	188	20715
9	189	18744
10	190	17118
11	191	15762
12	192	14615
13	193	13650
14	195	12857
15	197	12171
16	199	11555
17	200	10959
18	202	10451
19	203	9987
20	205	9577
21	206	9181
22	207	8817
23	208	8489
24	211	8250
25	212	7964
26	214	7747
27	216	7501
28	217	7294
29	218	7079
30	220	6878
31	221	6689
32	222	6509
33	223	6354
34	227	6266
35	229	6137
36	230	5997
37	231	5871
38	233	5744
39	234	5621
40	235	5499
41	237	5418
42	239	5327
43	241	5247
44	242	5151
45	244	5062
46	245	4971
47	246	4879
48	247	4794
49	248	4712
50	250	4658
51	251	4592
52	254	4555
53	256	4485
54	257	4423
55	258	4357
56	259	4296
57	260	4234
58	261	4177
59	263	4129
60	265	4086
61	266	4038
62	268	3990
63	269	3939
64	270	3891
65	271	3842
66	272	3793
67	273	3744
68	274	3698
69	274	3653
70	275	3609
71	277	3574
72	278	3540
73	280	3503
74	282	3478
75	283	3442
76	284	3406
77	285	3372
78	286	3336
79	287	3301
80	288	3267
81	288	3234
82	289	3197
83	291	3173
84	293	3161
85	296	3150
86	297	3123
87	298	3094
88	299	3065
89	300	3039
90	301	3013
91	302	2985
92	303	2959
93	305	2942
94	309	2944
95	311	2932
96	312	2910
97	313	2889
98	314	2864
99	315	2840
100	316	2816
101	317	2792
102	318	2769
103	319	2752
104	322	2747
105	324	2734
106	325	2716
107	326	2700
108	327	2679
109	328	2658
110	329	2638
111	330	2618
112	331	2598
113	331	2578
114	332	2559
115	334	2550
116	336	2540
117	339	2537
118	340	2522
119	341	2506
120	342	2490
121	343	2472
122	344	2456
123	345	2440
124	346	2423
125	347	2410
126	348	2394
127	349	2382
128	350	2367
129	351	2352
130	352	2336
131	353	2323
132	356	2323
133	357	2312
134	358	2300
135	359	2286
136	360	2273
137	362	2264
138	363	2254
139	365	2246
140	366	2234
141	367	2221
142	368	2209
143	369	2197
144	370	2187
145	371	2175
146	372	2162
147	373	2150
148	374	2138
149	375	2130
150	377	2123
151	378	2113
152	381	2111
153	382	2102
154	384	2093
155	385	2083
156	385	2072
157	386	2061
158	387	2051
159	388	2040
160	389	2028
161	390	2020
162	392	2014
163	394	2009
164	395	2000
165	396	1990
166	396	1979
167	397	1969
168	398	1959
169	399	1950
170	400	1942
171	401	1932
172	402	1923
173	403	1913
174	404	1906
175	406	1901
176	407	1893
177	408	1885
178	409	1877
179	410	1869
180	411	1861
181	412	1854
182	413	1846
183	414	1839
184	415	1830
185	416	1822
186	417	1814
187	418	1808
188	420	1802
189	421	1797
190	423	1792
191	424	1785
192	425	1779
193	426	1772
194	427	1765
195	428	1757
196	429	1750
197	430	1742
198	430	1734
199	432	1730
200	434	1727
201	436	1724
202	437	1718
203	439	1713
204	440	1707
205	441	1700
206	442	1693
207	442	1685
208	443	1678
209	444	1671
210	445	1664
211	448	1666
212	449	1661
213	451	1658
214	452	1653
215	453	1647
216	455	1642
217	456	1635
218	456	1629
219	457	1623
220	458	1616
221	459	1610
222	461	1606
223	462	1603
224	465	1603
225	466	1598
226	467	1593
227	469	1588
228	470	1582
229	470	1576
230	471	1570
231	472	1564
232	473	1557
233	473	1551
234	476	1549
235	477	1546
236	479	1544
237	481	1540
238	482	1536
239	483	1530
240	484	1524
241	484	1518
242	485	1513
243	487	1509
244	488	1506
245	490	1504
